から	0.0172915357583374
する	0.016814447625032
そう	0.0141148269682795
した	0.0137424654983826
かな	0.0133351951406828
たい	0.00978612488072797
しい	0.00933230933929112
たら	0.00904140194093416
よう	0.00840140566454886
これ	0.0073657753263981
ちょっと	0.00720286718331821
いか	0.00700505015243548
時間	0.00649305313132724
ある	0.0063534175801159
しま	0.00623705462077312
それ	0.00594614722241616
明日	0.00587632944681049
てい	0.00584142055900766
見て	0.00565523982405921
なら	0.00563196723219065
今日は	0.00552724056878215
なかった	0.00467779096557984
とい	0.00457306430217133
いと	0.00450324652656566
ます	0.00438688356722288
たけ	0.00424724801601154
ろう	0.00418906653634015
今日	0.00409597616886593
たか	0.00380506877050897
こう	0.00370034210710047
さん	0.00359561544369196
かし	0.00356070655588913
ぶり	0.00350252507621774
いけ	0.00331634434126929
とり	0.00330470804533501
にし	0.00328143545346645
はい	0.0032581628615979
最近	0.00324652656566362
ちゃ	0.00321161767786078
より	0.00316507249412367
自分	0.00310689101445228
とき	0.00297889175917522
あれ	0.00290907398356955
作業	0.00290907398356955
くら	0.00281598361609532
発表	0.00280434732016105
寝る	0.00271125695268682
行く	0.00260653028927832
いろ	0.00257162140147548
好き	0.00254834880960693
白い	0.00254834880960693
たん	0.00250180362586981
ご飯	0.00247853103400126
また	0.0024552584421327
こん	0.0023505317787242
てこ	0.0023505317787242
いいな	0.0023505317787242
とし	0.00231562289092136
帰宅	0.00225744141124997
疲れ	0.00221089622751286
るん	0.00221089622751286
よね	0.00210616956410435
っぽい	0.00209453326817008
気分	0.00203635178849869
よく	0.00202471549256441
みる	0.00201307919663013
研究室	0.00201307919663013
めん	0.00196653401289302
どこ	0.00195489771695874
思い出	0.00194326142102446
確か	0.00194326142102446
はな	0.00190835253322162
よし	0.00189671623728735
うし	0.00187344364541879
メール	0.00183853475761596
マジ	0.00183853475761596
かり	0.0018152621657474
からん	0.00180362586981312
学校	0.00180362586981312
すね	0.00180362586981312
いん	0.00178035327794456
ゼミ	0.0017105355023389
大学	0.00166399031860178
はや	0.00162908143079895
ころ	0.00162908143079895
せん	0.00161744513486467
本当	0.00161744513486467
くさ	0.00160580883893039
沖縄	0.00158253624706184
いる	0.00157089995112756
かい	0.001547627359259
アニメ	0.00153599106332472
予定	0.00152435476739044
ですよ	0.00150108217552189
かけ	0.00148944587958761
しみ	0.00145453699178478
かっこ	0.00143126439991622
パソコン	0.00141962810398194
昨日	0.00139635551211338
らん	0.00139635551211338
可愛い	0.00137308292024483
情報	0.00134981032837627
どん	0.00133817403244199
見る	0.00132653773650771
しろ	0.00131490144057344
いし	0.00130326514463916
ですか	0.00129162884870488
くない	0.00126835625683632
先生	0.00126835625683632
授業	0.00125671996090205
なか	0.00125671996090205
テレビ	0.00123344736903349
今年	0.00121017477716493
ゲーム	0.00119853848123065
元気	0.00119853848123065
くり	0.00116362959342782
ちゃん	0.00116362959342782
ポケモン	0.00115199329749354
意味	0.00115199329749354
落ち	0.00114035700155926
あんま	0.00111708440969071
全然	0.00110544811375643
全部	0.00110544811375643
バイト	0.00109381181782215
残念	0.00109381181782215
勉強	0.00109381181782215
必要	0.00107053922595359
あり	0.00107053922595359
説明	0.00107053922595359
ツイート	0.00105890293001932
高い	0.00105890293001932
だし	0.00105890293001932
うま	0.00104726663408504
普通	0.00104726663408504
絶対	0.00103563033815076
以上	0.00102399404221648
しそ	0.00102399404221648
買う	0.0010123577462822
お金	0.00100072145034793
はも	0.00100072145034793
たこ	0.000989085154413647
テニス	0.000989085154413647
ここ	0.000977448858479369
最高	0.000977448858479369
だい	0.000977448858479369
ネット	0.000977448858479369
